Country,Continent,GDP (millions of US$)
Afghanistan,Asia,18181
Albania,Europe,12847
Algeria,Africa,190709
Angola,Africa,100948
Argentina,South America,447644
Australia,Oceania,1488221
Austria,Europe,419243
Azerbaijan,Europe,62321
Bahrain,Asia,26108
Bangladesh,Asia,113032
Belarus,Europe,55483
Belgium,Europe,513396
Bolivia,Africa,24604
Bosnia and Herzegovina,Europe,17965
Botswana,Africa,17570
Brazil,South America,2492908
Brunei,Asia,15533
Bulgaria,Europe,53514
Burma,Asia,51925
Cambodia,Asia,12861
Cameroon,Africa,25759
Canada,North America,1736869
Chile,South America,248411
China,Asia,7298147
Colombia,South America,328422
"Congo, Democratic Republic of the",Africa,15668
"Congo, Republic of the",Africa,14769
Costa Rica,North America,40947
Cote d'Ivoire,Africa,24096
Croatia,Europe,63842
Cyprus,Europe,24949
Czech Republic,Europe,215265
Denmark,Europe,333238
Dominican Republic,North America,56700
Ecuador,South America,66381
Egypt,Africa,235719
El Salvador,North America,22761
Equatorial Guinea,Africa,19805
Estonia,Europe,22225
Ethiopia,Africa,31256
Finland,Europe,266553
France,Europe,2776324
Gabon,Africa,16176
Georgia,Europe,14347
Germany,Europe,3577031
Ghana,Africa,37158
Greece,Europe,303065
Guatemala,North America,46897
Honduras,North America,17381
Hong Kong,Asia,243302
Hungary,Europe,140303
Iceland,Europe,14048
India,Asia,1676143
Indonesia,Asia,845680
Iran,Asia,482445
Iraq,Asia,115388
Ireland,Europe,217669
Israel,Asia,242897
Italy,Europe,2198730
Jamaica,North America,14807
Japan,Asia,5869471
Jordan,Africa,29233
Kazakhstan,Asia,178312
Kenya,Africa,34796
Kuwait,Asia,176667
Latvia,Europe,28252
Lebanon,Asia,39039
Libya,Africa,36874
Lithuania,Europe,42718
Luxembourg,Europe,58412
Malaysia,Asia,278680
Mali,Africa,10600
Mauritius,Africa,11313
Mexico,North America,1154784
Morocco,Africa,99241
Mozambique,Africa,12827
Namibia,Africa,12461
Nepal,Asia,18580
Netherlands,Europe,840433
New Zealand,Oceania,161851
Nigeria,Africa,238920
Norway,Europe,483650
Oman,Asia,71888
Pakistan,Asia,210566
Panama,North America,30569
Papua New Guinea,Oceania,12655
Paraguay,South America,21236
Peru,South America,173502
Philippines,Asia,213129
Poland,Europe,513821
Portugal,Europe,238880
Qatar,Asia,173847
Romania,Europe,189776
Russia,Asia,1850401
Saudi Arabia,Asia,577595
Senegal,Africa,14461
Serbia,Europe,45064
Singapore,Asia,259849
Slovakia,Europe,96089
Slovenia,Europe,49588
South Africa,Africa,408074
South Korea,Asia,1116247
Spain,Europe,1493513
Sri Lanka,Asia,59095
Sudan + South Sudan,Africa,64750
Sweden,Europe,538237
Switzerland,Europe,636059
Taiwan,Asia,466832
Tanzania,Africa,23333
Thailand,Asia,345649
Trinidad and Tobago,North America,22707
Tunisia,Asia,46360
Turkey,Asia,778089
Turkmenistan,Asia,25742
Uganda,Africa,16810
Ukraine,Europe,164960
United Arab Emirates,Asia,360136
United Kingdom,Europe,2417570
United States,North America,15094025
Uruguay,South America,46872
Uzbekistan,Asia,45353
Venezuela,South America,315841
Vietnam,Asia,122722
Yemen,Africa,33675
Zambia,Africa,19206
